Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
10/20/2023,"1,974.31","1,997.27","1,971.93","1,981.04","1,981.04","1,947.99","1,977.86","1,945.18","1,923.70","1,962.74","1,923.05"
10/19/2023,"1,947.99","1,977.86","1,945.18","1,973.70","1,973.70","1,923.70","1,962.74","1,923.05","1,920.14","1,931.56","1,911.85"
10/18/2023,"1,923.70","1,962.74","1,923.05","1,947.69","1,947.69","1,920.14","1,931.56","1,911.85","1,929.30","1,931.80","1,907.65"
10/17/2023,"1,920.14","1,931.56","1,911.85","1,922.46","1,922.46","1,929.30","1,931.80","1,907.65","1,869.02","1,933.76","1,868.94"
10/16/2023,"1,929.30","1,931.80","1,907.65","1,919.44","1,919.44","1,869.02","1,933.76","1,868.94","1,874.10","1,885.30","1,866.92"
10/13/2023,"1,869.02","1,933.76","1,868.94","1,931.70","1,931.70","1,874.10","1,885.30","1,866.92","1,859.99","1,877.22","1,858.60"
10/12/2023,"1,874.10","1,885.30","1,866.92","1,868.65","1,868.65","1,859.99","1,877.22","1,858.60","1,861.27","1,865.65","1,852.65"
10/11/2023,"1,859.99","1,877.22","1,858.60","1,873.61","1,873.61","1,861.27","1,865.65","1,852.65","1,832.74","1,864.15","1,832.63"
10/10/2023,"1,861.27","1,865.65","1,852.65","1,860.09","1,860.09","1,832.74","1,864.15","1,832.63","1,820.40","1,834.97","1,810.10"
10/9/2023,"1,832.74","1,864.15","1,832.63","1,860.88","1,860.88","1,820.40","1,834.97","1,810.10","1,820.49","1,829.30","1,812.70"
10/6/2023,"1,820.40","1,834.97","1,810.10","1,832.26","1,832.26","1,820.49","1,829.30","1,812.70","1,824.30","1,831.05","1,816.15"
10/5/2023,"1,820.49","1,829.30","1,812.70","1,820.01","1,820.01","1,824.30","1,831.05","1,816.15","1,827.96","1,833.36","1,814.70"
10/4/2023,"1,824.30","1,831.05","1,816.15","1,821.08","1,821.08","1,827.96","1,833.36","1,814.70","1,848.13","1,849.06","1,826.60"
10/3/2023,"1,827.96","1,833.36","1,814.70","1,822.81","1,822.81","1,848.13","1,849.06","1,826.60","1,865.43","1,880.24","1,846.34"
10/2/2023,"1,848.13","1,849.06","1,826.60","1,827.40","1,827.40","1,865.43","1,880.24","1,846.34","1,875.73","1,880.15","1,857.76"
9/29/2023,"1,865.43","1,880.24","1,846.34","1,848.31","1,848.31","1,875.73","1,880.15","1,857.76","1,900.69","1,903.95","1,872.47"
9/28/2023,"1,875.73","1,880.15","1,857.76","1,864.56","1,864.56","1,900.69","1,903.95","1,872.47","1,916.03","1,916.89","1,899.17"
9/27/2023,"1,900.69","1,903.95","1,872.47","1,874.70","1,874.70","1,916.03","1,916.89","1,899.17","1,925.24","1,927.26","1,915.00"
9/26/2023,"1,916.03","1,916.89","1,899.17","1,900.49","1,900.49","1,925.24","1,927.26","1,915.00","1,920.08","1,929.65","1,919.58"
9/25/2023,"1,925.24","1,927.26","1,915.00","1,915.66","1,915.66","1,920.08","1,929.65","1,919.58","1,930.99","1,931.74","1,913.40"
9/22/2023,"1,920.08","1,929.65","1,919.58","1,924.99","1,924.99","1,930.99","1,931.74","1,913.40","1,931.69","1,947.80","1,927.90"
9/21/2023,"1,930.99","1,931.74","1,913.40","1,919.57","1,919.57","1,931.69","1,947.80","1,927.90","1,933.68","1,937.94","1,929.71"
9/20/2023,"1,931.69","1,947.80","1,927.90","1,929.68","1,929.68","1,933.68","1,937.94","1,929.71","1,924.19","1,934.61","1,922.15"
9/19/2023,"1,933.68","1,937.94","1,929.71","1,930.94","1,930.94","1,924.19","1,934.61","1,922.15","1,910.90","1,930.84","1,909.74"
9/18/2023,"1,924.19","1,934.61","1,922.15","1,933.14","1,933.14","1,910.90","1,930.84","1,909.74","1,906.68","1,912.99","1,900.95"
9/15/2023,"1,910.90","1,930.84","1,909.74","1,923.57","1,923.57","1,906.68","1,912.99","1,900.95","1,913.55","1,916.30","1,905.50"
9/14/2023,"1,906.68","1,912.99","1,900.95","1,910.32","1,910.32","1,913.55","1,916.30","1,905.50","1,922.90","1,925.05","1,907.15"
9/13/2023,"1,913.55","1,916.30","1,905.50","1,906.30","1,906.30","1,922.90","1,925.05","1,907.15","1,919.16","1,930.90","1,916.90"
9/12/2023,"1,922.90","1,925.05","1,907.15","1,913.26","1,913.26","1,919.16","1,930.90","1,916.90","1,919.57","1,930.19","1,917.36"
9/11/2023,"1,919.16","1,930.90","1,916.90","1,921.66","1,921.66","1,919.57","1,930.19","1,917.36","1,916.86","1,923.67","1,916.10"
9/8/2023,"1,919.57","1,930.19","1,917.36","1,917.81","1,917.81","1,916.86","1,923.67","1,916.10","1,926.16","1,929.80","1,914.80"
9/7/2023,"1,916.86","1,923.67","1,916.10","1,919.19","1,919.19","1,926.16","1,929.80","1,914.80","1,938.59","1,939.13","1,925.22"
9/6/2023,"1,926.16","1,929.80","1,914.80","1,916.28","1,916.28","1,938.59","1,939.13","1,925.22","1,940.49","1,946.42","1,936.15"
9/5/2023,"1,938.59","1,939.13","1,925.22","1,925.81","1,925.81","1,940.49","1,946.42","1,936.15","1,940.19","1,953.44","1,934.59"
9/4/2023,"1,940.49","1,946.42","1,936.15","1,938.19","1,938.19","1,940.19","1,953.44","1,934.59","1,942.61","1,948.19","1,938.86"
